2023-12-15T09:53:16.872Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@382faf51
2023-12-15T09:53:16.873Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@69ce14e6
2023-12-15T09:53:16.873Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@69ce14e6
2023-12-15T09:53:16.873Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration url -> org.hibernate.type.BasicTypeReference@699d96bc
2023-12-15T09:53:16.873Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@699d96bc
2023-12-15T09:53:16.874Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration row_version -> org.hibernate.type.BasicTypeReference@b5de9ac
2023-12-15T09:53:16.881Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration object -> org.hibernate.type.JavaObjectType@efe49ab
2023-12-15T09:53:16.881Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@efe49ab
2023-12-15T09:53:16.883Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration null -> org.hibernate.type.NullType@38022758
2023-12-15T09:53:16.883Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@69f9b561
2023-12-15T09:53:16.883Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@7e8f23ad
2023-12-15T09:53:16.884Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@7433ca19
2023-12-15T09:53:16.884Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@5d221b20
2023-12-15T09:53:16.884Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@79d4ff58
2023-12-15T09:53:16.884Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@7ec13984
2023-12-15T09:53:16.884Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@14485747
2023-12-15T09:53:16.884Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@59fea5f5
2023-12-15T09:53:17.240Z  INFO 40192 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2023-12-15T09:53:17.289Z  INFO 40192 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-12-15T09:53:17.876Z  INFO 40192 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection ConnectionID:1 ClientConnectionId: bcd23545-e49f-4e3f-bb69-5343162545b4
2023-12-15T09:53:17.879Z  INFO 40192 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-12-15T09:53:17.918Z  WARN 40192 --- [main] org.hibernate.orm.deprecation            : HHH90000025: SQLServerDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2023-12-15T09:53:17.953Z DEBUG 40192 --- [main] o.h.t.d.jdbc.spi.JdbcTypeRegistry        : addDescriptor(NCharTypeDescriptor) replaced previous registration(CharTypeDescriptor)
2023-12-15T09:53:17.953Z DEBUG 40192 --- [main] o.h.t.d.jdbc.spi.JdbcTypeRegistry        : addDescriptor(NVarcharTypeDescriptor) replaced previous registration(VarcharTypeDescriptor)
2023-12-15T09:53:17.954Z DEBUG 40192 --- [main] o.h.t.d.jdbc.spi.JdbcTypeRegistry        : addDescriptor(LongNVarcharTypeDescriptor) replaced previous registration(LongVarcharTypeDescriptor)
2023-12-15T09:53:17.956Z DEBUG 40192 --- [main] o.h.t.d.jdbc.spi.JdbcTypeRegistry        : addDescriptor(NClobTypeDescriptor(DEFAULT)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
2023-12-15T09:53:17.956Z DEBUG 40192 --- [main] o.h.t.d.jdbc.spi.JdbcTypeRegistry        : addDescriptor(2005, ClobTypeDescriptor(STREAM_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
2023-12-15T09:53:17.958Z DEBUG 40192 --- [main] o.h.t.d.jdbc.spi.JdbcTypeRegistry        : addDescriptor(TimestampUtcDescriptor) replaced previous registration(TimestampUtcDescriptor)
2023-12-15T09:53:17.958Z DEBUG 40192 --- [main] o.h.t.d.jdbc.spi.JdbcTypeRegistry        : addDescriptor(-6, TinyIntTypeDescriptor) replaced previous registration(TinyIntTypeDescriptor)
2023-12-15T09:53:17.962Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Duration -> basicType@1(java.time.Duration,2)
2023-12-15T09:53:17.962Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Duration -> basicType@1(java.time.Duration,2)
2023-12-15T09:53:17.966Z DEBUG 40192 --- [main] o.h.type.spi.TypeConfiguration$Scope     : Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@534fc1f7] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@7d5a0b14]
